cell	rho	k	n	dist	method	n_rep	n_abort	coverage_uncond	coverage_nonabort	lo_miss	hi_miss	med_width	width_ratio_vs_mc
34	0.3	10	5	t5	mc	2000	125	0.907	0.9674666667	0.03253333333	0	0.5708634928	1
34	0.3	10	5	t5	npbootstrap	2000	0	0.926	0.926	0.0255	0.0485	0.6773453343	1.186527677
34	0.3	10	5	t5	searle	2000	0	0.9235	0.9235	0.0325	0.044	0.5941753325	1.040836102
35	0.3	10	5	uniform	burch	2000	0	0.9615	0.9615	0.0085	0.03	0.5619122771	0.9863726333
35	0.3	10	5	uniform	mc	2000	36	0.97	0.9877800407	0.01221995927	0	0.5696754534	1
35	0.3	10	5	uniform	npbootstrap	2000	0	0.9295	0.9295	0.047	0.0235	0.6157097863	1.080807998
35	0.3	10	5	uniform	searle	2000	0	0.9755	0.9755	0.0145	0.01	0.602157548	1.057018596
36	0.3	10	5	chisq1	burch	2000	0	0.803	0.803	0.0485	0.1485	0.5365467976	0.9384424228
36	0.3	10	5	chisq1	mc	2000	233	0.823	0.9315223543	0.06847764573	0	0.57174184	1
36	0.3	10	5	chisq1	npbootstrap	2000	0	0.905	0.905	0.027	0.068	0.7380177827	1.290823464
36	0.3	10	5	chisq1	searle	2000	0	0.848	0.848	0.0635	0.0885	0.5792291889	1.013095681
37	0.3	30	5	gaussian	burch	2000	0	0.938	0.938	0.019	0.043	0.336948123	0.9900657575
37	0.3	30	5	gaussian	mc	2000	2	0.973	0.973973974	0.02602602603	0	0.3403290342	1
37	0.3	30	5	gaussian	npbootstrap	2000	0	0.9405	0.9405	0.031	0.0285	0.3514541979	1.032689435
37	0.3	30	5	gaussian	searle	2000	0	0.948	0.948	0.0265	0.0255	0.3490869315	1.025733618
38	0.3	30	5	t5	burch	2000	0	0.9045	0.9045	0.0385	0.057	0.3353437883	0.9887034031
38	0.3	30	5	t5	mc	2000	3	0.9485	0.9499248873	0.05007511267	0	0.3391753151	1
38	0.3	30	5	t5	npbootstrap	2000	0	0.9385	0.9385	0.0225	0.039	0.3866507084	1.13997302
38	0.3	30	5	t5	searle	2000	0	0.9125	0.9125	0.051	0.0365	0.3467156426	1.022231357
39	0.3	30	5	uniform	burch	2000	0	0.966	0.966	0.011	0.023	0.3366144195	0.9882094152
39	0.3	30	5	uniform	mc	2000	0	0.983	0.983	0.017	0	0.3406306541	1
39	0.3	30	5	uniform	npbootstrap	2000	0	0.9465	0.9465	0.033	0.0205	0.3170787995	0.9308580885
39	0.3	30	5	uniform	searle	2000	0	0.968	0.968	0.0175	0.0145	0.3499637153	1.027399358
40	0.3	30	5	chisq1	burch	2000	0	0.774	0.774	0.0725	0.1535	0.3328995532	0.9846018088
40	0.3	30	5	chisq1	mc	2000	10	0.9025	0.9070351759	0.09296482412	0	0.3381057705	1
40	0.3	30	5	chisq1	npbootstrap	2000	0	0.892	0.892	0.0175	0.0905	0.4750873528	1.405144172
40	0.3	30	5	chisq1	searle	2000	0	0.7775	0.7775	0.093	0.1295	0.3418647789	1.011117848
41	0.3	50	5	gaussian	burch	2000	0	0.9425	0.9425	0.0225	0.035	0.2642963302	0.9934723907
41	0.3	50	5	gaussian	mc	2000	0	0.9585	0.9585	0.032	0.0095	0.266032889	1
41	0.3	50	5	gaussian	npbootstrap	2000	0	0.9395	0.9395	0.033	0.0275	0.2722444502	1.023348847
41	0.3	50	5	gaussian	searle	2000	0	0.9455	0.9455	0.03	0.0245	0.2705148136	1.016847258
42	0.3	50	5	t5	burch	2000	0	0.884	0.884	0.0505	0.0655	0.2640125437	0.9983033324
42	0.3	50	5	t5	mc	2000	0	0.911	0.911	0.0635	0.0255	0.2644612465	1
42	0.3	50	5	t5	npbootstrap	2000	0	0.9295	0.9295	0.025	0.0455	0.3020985496	1.142316894
42	0.3	50	5	t5	searle	2000	0	0.8885	0.8885	0.061	0.0505	0.2690715305	1.01743274
43	0.3	50	5	uniform	burch	2000	0	0.9755	0.9755	0.0095	0.015	0.2641654546	0.9917768721
43	0.3	50	5	uniform	mc	2000	0	0.982	0.982	0.0145	0.0035	0.2663557318	1
43	0.3	50	5	uniform	npbootstrap	2000	0	0.9535	0.9535	0.03	0.0165	0.2405369252	0.90306645
43	0.3	50	5	uniform	searle	2000	0	0.9775	0.9775	0.0135	0.009	0.2709383622	1.017204925
44	0.3	50	5	chisq1	burch	2000	0	0.7675	0.7675	0.093	0.1395	0.2642927687	1.004854462
44	0.3	50	5	chisq1	mc	2000	3	0.8255	0.8267401102	0.1081622434	0.06509764647	0.2630159677	1
44	0.3	50	5	chisq1	npbootstrap	2000	0	0.9175	0.9175	0.0155	0.067	0.4017881463	1.527618836
44	0.3	50	5	chisq1	searle	2000	0	0.772	0.772	0.107	0.121	0.2668015773	1.014393079
45	0.3	10	2	gaussian	burch	2000	0	0.973	0.973	0.027	0	1.010014491	1.246827005
45	0.3	10	2	gaussian	mc	2000	361	0.767	0.9359365467	0.06406345333	0	0.8100678657	1
45	0.3	10	2	gaussian	npbootstrap	2000	0	0.934	0.934	0.0415	0.0245	1.140782064	1.408254928
45	0.3	10	2	gaussian	searle	2000	0	0.953	0.953	0.0205	0.0265	1.08969583	1.345190787
46	0.3	10	2	t5	burch	2000	0	0.9685	0.9685	0.0315	0	1.017775258	1.256009636
46	0.3	10	2	t5	mc	2000	411	0.7315	0.9207048458	0.07929515419	0	0.8103244023	1
46	0.3	10	2	t5	npbootstrap	2000	0	0.936	0.936	0.0385	0.0255	1.176774572	1.452226502
46	0.3	10	2	t5	searle	2000	0	0.9405	0.9405	0.0235	0.036	1.095109815	1.351446176
47	0.3	10	2	uniform	burch	2000	0	0.969	0.969	0.031	0	1.014114805	1.2458895
47	0.3	10	2	uniform	mc	2000	317	0.777	0.9233511586	0.07664884135	0	0.8139684982	1
47	0.3	10	2	uniform	npbootstrap	2000	0	0.926	0.926	0.0515	0.0225	1.159158272	1.424082473
47	0.3	10	2	uniform	searle	2000	0	0.9585	0.9585	0.0215	0.02	1.093421868	1.343322095
48	0.3	10	2	chisq1	burch	2000	0	0.96	0.96	0.04	0	1.018748514	1.256633272
48	0.3	10	2	chisq1	mc	2000	457	0.691	0.8956578095	0.1043421905	0	0.8106967539	1
48	0.3	10	2	chisq1	npbootstrap	2000	0	0.923	0.923	0.0365	0.0405	1.213256116	1.49655973
48	0.3	10	2	chisq1	searle	2000	0	0.917	0.917	0.038	0.045	1.095164952	1.350893471
